date,price,market_caps,total_volumes
3/5/2014,434.0333,5570422954,9446958.635517636
4/5/2014,433.9432,5554777406,5229830.630972039
5/5/2014,429.0761,5518951942,8567756.392353557
6/5/2014,426.7634,5463474513,10822749.124633348
7/5/2014,439.3,5590798951,16360711.036365218
8/5/2014,437.3633,5609810850,8491458.546028852
9/5/2014,447.4933,5730133343,8820053.293163313
10/5/2014,452.505,5795543101,5529665.186791251
11/5/2014,436.2833,5598956479,11522907.034093864
12/5/2014,439.19,5633629021,5903393.674349334
13/5/2014,437.305,5625308533,5619474.108984868
14/5/2014,444.2467,5669111766,6764834.291
15/5/2014,444.25,5712906334,6219944.385
16/5/2014,445.165,5725217915,5292980.730698652
17/5/2014,445.8533,5737967927,2642092.2130057854
18/5/2014,444.2133,5706165793,7828552.781743507
19/5/2014,443.87,5706978471,11697296.019628461
20/5/2014,483.4167,6214911439,59415447.482920215
21/5/2014,488.7717,6294422409,20125942.252461053
22/5/2014,522.6083,6716604600,28758404.007310245
23/5/2014,524.475,6662964359,30253343.70043255
24/5/2014,523.1083,6727963028,10236386.684289353
25/5/2014,569.3767,7325371780,43762384.55551313
26/5/2014,579.6217,7479335238,26174591.715237826
27/5/2014,569.475,7325147499,33059214.23635299
28/5/2014,571.5533,7402205099,15739188.285988351
29/5/2014,565.26,7290260762,14362990.94411866
30/5/2014,621.1467,7897757908,42271699.63749006
31/5/2014,620.5,8007248676,18656368.10083591
1/6/2014,640.1617,8094125581,53565199.679242626
2/6/2014,656.41,8487587033,41153743.55147136
3/6/2014,667.3683,8580309812,37419432.11298669
4/6/2014,641.1833,8249183077,43722721.85640881
5/6/2014,658.1,8478552324,24809749.57
6/6/2014,648.63,8409353268,14032413.37
7/6/2014,651.7083,8428206589,12954147.496912882
8/6/2014,649.8983,8445489607,6819173.803153491
9/6/2014,643.905,8290260777,15165258.001682783
10/6/2014,649.0567,8359493315,13698528.103743391
11/6/2014,630.0367,8116778557,20706208.81438605
12/6/2014,567.175,7309311839,41032286.05220322
13/6/2014,594.6833,7666330028,37950646.151919045
14/6/2014,570.0033,7350662806,33752601.59059282
15/6/2014,583.41,7526353631,19377536.876052536
16/6/2014,592.52,7646618730,25803391.330629352
17/6/2014,607.1583,7838352937.170001,14064824.78230287
18/6/2014,604.19,7802403926.750001,14955835.77044088
19/6/2014,593.3883000000002,7665345555.277503,11266428.30113169
20/6/2014,590.055,7625133251.249999,14899960.97248743
21/6/2014,591.2567,7643411864,8304999.789508111
22/6/2014,595.0367,7694627831,9952321.043074599
23/6/2014,586.1482999999998,7582634214.4124975,11249420.61918756
24/6/2014,582.4149999999998,7537047075.374997,11613405.81708644
25/6/2014,561.4716999999999,7268686297.067499,18237241.345597345
26/6/2014,579.5867,7505647765,12733876.653646294
27/6/2014,598.2367,7750006889,19906418.825948466
28/6/2014,594.8717000000001,7709210052.5650015,13624207.397432778
29/6/2014,598.4883,7758488115,8878656.403461741
30/6/2014,637.7549999999999,8269625590.124999,47015974.05882847
1/7/2014,643.9350000000001,8351853048.375001,38496541.685756736
2/7/2014,648.1075000000002,8408206448.562503,25992122.167154185
3/7/2014,640.2838000000003,8308930858.410004,18539083.74715486
4/7/2014,627.1288,8140821666,22418156.550761543
5/7/2014,627.5812999999999,8149049043.304998,9292051.769341238
6/7/2014,631.0025,8195697095.937501,11187211.133814601
7/7/2014,619.4950000000002,8048556476.875003,18525910.64620546
8/7/2014,620.0474999999996,8058075305.249995,9269839.610474609
9/7/2014,620.16,8060033472,9329941.299859986
10/7/2014,615.1275000000002,7994627579.250003,15009203.935868405
11/7/2014,630.8350000000002,8198773244.500003,15836826.82458833
12/7/2014,633.6389951679741,8235215928.499609,13267457.870885218
13/7/2014,627.4623228193354,8154939570.986056,11435029.121800043
14/7/2014,618.2050265064788,8034625267.996753,2646077079.3567286
15/7/2014,618.9524999999999,8044339956.749999,10776372.317991683
16/7/2014,614.1474999999997,7981890813.249996,13679053.322608326
